#commonpakistanifilwithcommongenre

#romancedramafilm
Binroye jaanan
jaanan zindagikitnihaseenhai
zindagikitnihaseenhai dobaraphirse
dobaraphirse gardaab
gardaab punjabnhijaungi
punjabnhijaungi arththedestination
arththedestination readysteadyno
readysteadyno tumhitohho
tumhitohho superstar
supertar

#drama
goodmorningkarachi moor
moor revengeofworthless
revengeofworthless geosaruthake
geosaruthake sawaan
sawaan

#comedy
wrongno karachsilahore
karachsilahore dekhmagarpyarsey
dekhmagarpyarsey jawaniphrnhiaani
jawaniphrnhiaani hallagulla
hallagulla ishqpositive
ishqpositive janan
janan terimerilovestory
terimerilovestory jeewanhathi
jeewanhathi lahoreseaagy
lahoreseaagy oyekuchkarguzar
oyekuchkarguzar thorajeeley
thorajeeley balumaahi
balumaahi mehrunisavilubu
mehrunisavilubu namaalomaafraad2
namaalomaafraad2 maanjaonaa
maanjaonaa azad
azad cake 
cake 7dinkimohabat
7dinkimohabat nabandnabarati
nabandnabarati shorsharba
shorsharba teefaintrouble
teefaintrouble jawaniphirnahiaani2
jawaniphirnahiaani2 loadwedding
loadwedding thedonkeyking
thedonkeyking jackpot
jackpot chhalawa
chhalawa wrongno2
wrongno2 baaji
baaji heermanjha
heermanjha

#action thriller
sawaal700croreka whistle
whistle firasaat
firasaat gumminthemiddleofnowhere
gumminthemiddleofnowhere zarar
zarar

#biography
shah manto
manto salute
salute 
